ID | NOMBRE | PROMEDIO
428 | Florina | 2.0
429 | Isaac | 4.6
430 | Angélica | 6.6
431 | Cándida | 8.5
432 | Maricruz | 3.4
433 | Delia | 6.9
434 | Seve | 2.3
435 | Virginia | 3.4
436 | Goyo | 7.9
437 | Dafne | 2.9
438 | Pablo | 3.0
439 | Encarna | 8.8
440 | Aníbal | 5.8
441 | Maite | 6.2
442 | Nazaret | 7.7
443 | José Mari | 2.8
444 | Bibiana | 3.9
445 | Andrés Felipe | 7.9
446 | Mauricio | 5.5
447 | Flavia | 5.5
448 | Jesusa | 5.3
449 | Paola | 7.6
450 | Amanda | 7.9
451 | Gaspar | 9.5
452 | Crescencia | 7.2
453 | Apolonia | 4.4
454 | Rufino | 4.2
455 | Emiliano | 9.5
456 | Angelina | 2.0
457 | Hermenegildo | 3.8
458 | Paula | 7.5
459 | Bonifacio | 8.7
460 | Haydée | 1.2
461 | Perla | 5.4
462 | Maricela | 9.1
463 | Jose Ignacio | 4.5
464 | Javi | 8.0
465 | Borja | 2.3
466 | Andrea | 9.3
467 | Prudencio | 7.6
468 | Angelita | 1.4
469 | Ainara | 9.1
470 | Aitor | 10.0
471 | Gala | 4.2
472 | Modesta | 9.8
473 | Fabiana | 9.0
474 | Natividad | 9.8
475 | Lilia | 4.6
476 | María Cristina | 7.6
477 | Tristán | 8.8
478 | Félix | 9.1
479 | Alicia | 6.3
480 | Leoncio | 9.4
481 | Victoriano | 3.7
482 | Alejandra | 1.2
483 | María Pilar | 1.4
484 | Sebastián | 4.6
485 | Pánfilo | 8.8
486 | Eloísa | 4.3
487 | Constanza | 8.8
488 | Nicolasa | 7.0
489 | Cesar | 3.6
490 | Loreto | 3.8
491 | Isaac | 8.3
492 | Marisela | 9.8
493 | Paco | 4.7
494 | Noé | 2.6
495 | Florencia | 8.7
496 | Lucía | 1.1
497 | Cristóbal | 2.8
498 | Cristian | 8.0
499 | Narciso | 1.1
500 | Remedios | 9.2
501 | Juan Luis | 5.5
502 | Cornelio | 7.4
503 | Eliana | 5.6
504 | Evita | 7.5
505 | Renata | 7.9
506 | Ester | 2.7
507 | Mario | 7.2
508 | Natalia | 4.7
509 | Noa | 9.5
510 | Florentino | 5.0
511 | Vito | 1.6
512 | Esteban | 4.3
513 | Quique | 2.9
514 | Nicodemo | 4.5
515 | María | 4.3
516 | Priscila | 6.1
517 | Mar | 9.4
518 | Héctor | 6.9
519 | Armida | 4.0
520 | Agapito | 9.6
521 | Celia | 10.0
522 | Vanesa | 1.2
523 | Íngrid | 4.8
524 | Jeremías | 3.3
525 | Norberto | 1.5
526 | Ovidio | 7.0
527 | José Mari | 3.4
528 | Baldomero | 6.6
529 | Pía | 3.3
530 | Ernesto | 3.3
531 | Amparo | 2.6
532 | Custodia | 2.2
533 | Pastora | 5.4
534 | Irene | 2.6
535 | Cleto | 8.7
536 | Valentín | 2.8
537 | Albina | 1.6
538 | Anabel | 5.8
539 | Natanael | 5.9
540 | Andrea | 7.0
541 | Rafael | 1.5
542 | Bernardino | 2.8
543 | Nélida | 7.3
544 | Carmen | 2.7
545 | Graciela | 1.1
546 | Carmen | 4.5
547 | Malena | 4.2
548 | Salvador | 7.6
549 | Hugo | 8.9
550 | Prudencio | 2.0
551 | Carmela | 4.8
552 | Edmundo | 7.5
553 | Xavier | 3.4
554 | Renata | 4.6
555 | Valerio | 2.0
556 | América | 5.6
557 | Adelina | 6.9
558 | Roberta | 9.5
559 | Augusto | 6.8
560 | Gabriel | 7.6
561 | Xiomara | 5.4
562 | Paulino | 1.4
563 | Yaiza | 3.9
564 | Amador | 5.3
565 | José | 6.2
566 | Sarita | 8.4
567 | Cirino | 6.9
568 | Adrián | 4.9
569 | Blas | 9.7
570 | Miguel | 3.6
571 | Gema | 6.3
572 | Jordana | 5.5
573 | Montserrat | 7.7
574 | Débora | 6.8
575 | Delia | 2.9
576 | Leopoldo | 5.5
577 | Azahara | 9.8
578 | Rico | 3.4
579 | Leonel | 3.0
580 | Florencia | 3.4
581 | Claudia | 1.8
582 | Ana Sofía | 3.8
583 | Estefanía | 8.6
584 | Florina | 7.5
585 | Ángel | 8.4
586 | Miguel | 7.1
587 | Carmina | 6.1
588 | Marisol | 4.5
589 | José Antonio | 5.2
590 | Baudelio | 5.5
591 | Lázaro | 6.6
592 | Adelardo | 1.0
593 | Adelaida | 5.5
594 | Leoncio | 5.5
595 | Adrián | 1.5
596 | Jorge | 7.3
597 | Francisco | 6.8
598 | Nayara | 7.2
599 | Marianela | 8.6
600 | Serafina | 9.6
601 | Juan Bautista | 8.4
602 | Eusebio | 6.1
603 | Cristian | 4.1
604 | Cándida | 3.9
605 | Concha | 3.9
606 | Natanael | 8.4
607 | Mohamed | 9.4
608 | Priscila | 4.6
609 | Rubén | 8.3
610 | Armando | 6.2
611 | Irene | 7.8
612 | Néstor | 5.2
613 | Lucho | 1.7
614 | Ascensión | 2.4
615 | Ximena | 6.5
616 | Jose Miguel | 4.7
617 | Pepito | 1.6
618 | Jordi | 8.9
619 | Santos | 9.4
620 | Donato | 8.9
621 | Adolfo | 6.1
622 | Custodia | 4.6
623 | Florina | 7.4
624 | María Teresa | 8.3
625 | Dionisio | 5.8
626 | Emelina | 6.0
627 | Amalia | 3.1
628 | Epifanio | 4.4
629 | René | 8.6
630 | Jordana | 8.8
631 | Régulo | 5.7
632 | Albina | 5.7
633 | Nilo | 3.6
634 | Eric | 8.8
635 | Celia | 4.8
636 | Jonatan | 7.7
637 | María Jesús | 3.1
638 | Cornelio | 5.0
639 | Aitor | 6.1
640 | Ligia | 8.8
641 | Evaristo | 2.7
642 | Anna | 4.2
643 | Diego | 5.5
644 | Alejo | 6.5
645 | Elvira | 1.9
646 | Fátima | 7.9
647 | Danilo | 3.9
648 | Rosaura | 1.0
649 | Bernardita | 7.1
650 | Eugenia | 1.4
651 | Jose | 2.8
652 | Federico | 1.1
653 | Jose Ramón | 7.6
654 | Natalio | 6.0
655 | Melisa | 8.2
656 | Amarilis | 2.5
657 | Rico | 4.2
658 | Julie | 1.1
659 | Virginia | 8.7
660 | Moisés | 5.8
661 | Corona | 1.5
662 | Lupita | 1.9
663 | Florentina | 3.6
664 | Clotilde | 6.4
665 | Remigio | 1.0
666 | Marcos | 1.9
667 | Carolina | 3.4
668 | Samuel | 4.0
669 | Felisa | 6.4
670 | Artemio | 6.7
671 | Cecilio | 8.2
672 | Irma | 1.3
673 | Gustavo | 2.2
674 | Bautista | 9.1
675 | Teófilo | 6.0
676 | Fidela | 6.8
677 | Catalina | 1.7
678 | Carolina | 4.7
679 | Alondra | 6.6
680 | Plácido | 3.0
681 | Evaristo | 7.3
682 | Valentina | 7.5
683 | María | 6.3
684 | Tomás | 1.2
685 | Simón | 5.5
686 | Bienvenida | 6.7
687 | Graciela | 5.2
688 | Petrona | 10.0
689 | Zoraida | 1.7
690 | Xiomara | 2.7
691 | Maximiano | 6.8
692 | Almudena | 2.5
693 | Germán | 1.4
694 | Tadeo | 3.1
695 | Teobaldo | 2.5
696 | Lorenzo | 1.6
697 | Azucena | 1.5
698 | Noelia | 2.5
699 | Tomasa | 2.2
700 | Lino | 7.9
701 | Íngrid | 5.2
702 | Adán | 2.1
703 | Fidela | 3.1
704 | Osvaldo | 7.0
705 | Rosa María | 6.4
706 | Remedios | 6.1
707 | Tadeo | 4.5
708 | Olivia | 8.7
709 | Bibiana | 9.8
710 | Curro | 2.7
711 | Odalis | 4.3
712 | Eligia | 9.6
713 | Moisés | 9.3
714 | Ramona | 6.9
715 | Adelia | 9.4
716 | Alma | 4.9
717 | Juan Bautista | 2.3
718 | Julio César | 5.5
719 | Joaquina | 3.0
720 | Nicolasa | 4.6
721 | Rosenda | 7.2
722 | Buenaventura | 2.4
723 | Pelayo | 9.4
724 | Susana | 6.0
725 | Miguel Ángel | 1.6
726 | Ale | 6.8
727 | Amarilis | 3.4
728 | Jose Miguel | 7.7
729 | Eusebia | 1.7
730 | Pancho | 6.1
731 | Nydia | 3.8
732 | Gala | 10.0
733 | Amarilis | 3.4
734 | Virgilio | 4.5
735 | Griselda | 9.7
736 | Humberto | 6.1
737 | Carlos | 1.1
738 | Mirta | 6.0
739 | Humberto | 6.6
740 | Azeneth | 5.0
741 | Coral | 3.5
742 | Sara | 2.2
743 | Lara | 8.5
744 | Victoria | 7.8
745 | Gloria | 6.4
746 | Eliseo | 1.4
747 | Adela | 8.0
748 | José | 2.0
749 | Ángel | 5.1
750 | Pepito | 4.0
751 | Adora | 4.8
752 | Roxana | 7.3
753 | Herberto | 2.9
754 | Hilario | 4.4
755 | Jose Manuel | 7.2
756 | Jacobo | 9.3
757 | Julie | 8.9
758 | Eulalia | 9.2
759 | Florentino | 6.6
760 | Marisol | 7.7
761 | Urbano | 8.2
762 | Asunción | 2.2
763 | Prudencio | 4.6
764 | Griselda | 4.3
765 | Armando | 8.4
766 | Pancho | 8.6
767 | Caridad | 6.5
768 | Fernando | 6.8
769 | Sergio | 3.7
770 | Marisol | 7.9
771 | Ciríaco | 7.8
772 | Delfina | 3.9
773 | Pancho | 9.3
774 | Yéssica | 6.3
775 | Carlito | 7.7
776 | Filomena | 2.2
777 | Renata | 5.1
778 | Modesto | 2.9
779 | Carolina | 9.2
780 | Cintia | 4.3
781 | Paulina | 2.0
782 | Albina | 8.6
783 | José Manuel | 6.0
784 | Catalina | 6.6
785 | Rosenda | 8.9
786 | Agustina | 6.0
787 | Roberto | 5.5
788 | José | 4.7
789 | Lina | 9.4
790 | Juan Luis | 7.9
791 | Seve | 7.3
792 | Manuela | 8.4
793 | Jimena | 8.6
794 | Nadia | 2.5
795 | Rita | 9.4
796 | Antonia | 4.8
797 | Emiliana | 2.6
798 | Cecilio | 6.7
799 | Vito | 5.4
800 | Baldomero | 2.2
801 | Ofelia | 4.4
802 | Anastasio | 4.8
803 | María Carmen | 6.8
804 | Eugenio | 6.5
805 | Isaura | 6.2
806 | Miguel Ángel | 7.4
807 | Reina | 9.6
808 | Balduino | 4.5
809 | Apolonia | 2.3
810 | José | 7.7
811 | Baldomero | 6.1
812 | Marianela | 9.3
813 | Esther | 1.5
814 | Juan Antonio | 1.3
815 | Sancho | 7.5
816 | Belén | 8.7
817 | Natalio | 6.6
818 | Ámbar | 3.7
819 | Marcelino | 6.1
820 | Salomón | 1.0
821 | Eutimio | 7.0
822 | Evangelina | 8.5
823 | Edmundo | 3.6
824 | María Pilar | 4.7
825 | Angelita | 9.8
826 | Narcisa | 5.0
827 | América | 4.7
828 | Alondra | 7.8
829 | Elodia | 2.3
830 | Patricio | 1.7
831 | Ciríaco | 8.4
832 | Carmen | 4.8
833 | Encarna | 8.6
834 | Marcial | 8.4
835 | Cristóbal | 2.6
836 | Francisca | 2.0
837 | Luciana | 7.0
838 | Amada | 4.8
839 | Marina | 8.1
840 | Chema | 9.4
841 | Rodolfo | 7.3
842 | Régulo | 6.1
843 | Felipa | 2.4
844 | César | 4.5
845 | Reyes | 9.0
846 | Elodia | 2.7
847 | Fabio | 6.6
848 | Ruy | 4.4
849 | Zacarías | 9.9
850 | Nayara | 7.5
851 | Feliciana | 8.0
852 | Olga | 4.8
853 | Basilio | 7.3
854 | Fidela | 8.1
855 | Pelayo | 9.4
856 | Encarnita | 4.2
857 | Manu | 4.0
858 | Josefina | 4.1
859 | Pablo | 2.0
860 | Francisco Jose | 6.9
861 | Sandra | 2.6
862 | Blas | 6.6
863 | Luz | 1.1
864 | Juan | 9.8
865 | Vito | 7.2
866 | Alba | 8.5
867 | Rosalva | 4.2
868 | Mercedes | 8.1
869 | Ariel | 3.3
870 | Ricarda | 7.1
871 | José María | 4.0
872 | Sarita | 7.4
873 | Martina | 7.8
874 | Ángel | 6.2
875 | Ángel | 4.3
876 | Leocadia | 3.9
877 | Pepito | 8.5
878 | Anselma | 6.2
879 | Alma | 2.5
880 | María Cristina | 4.6
881 | Gala | 8.9
882 | Édgar | 3.2
883 | César | 7.5
884 | Calixta | 4.2
885 | Perla | 7.4
886 | Araceli | 8.4
887 | Margarita | 4.6
888 | Edmundo | 2.5
889 | Lorena | 9.1
890 | Águeda | 8.5
891 | Jesusa | 4.6
892 | Gerardo | 7.5
893 | Isidoro | 3.8
894 | Catalina | 6.8
895 | Úrsula | 10.0
896 | Carina | 2.2
897 | Fabio | 3.2
898 | Ale | 5.9
899 | Che | 4.6
900 | Albano | 7.7
901 | Odalys | 5.3
902 | Ruben | 4.5
903 | Visitación | 2.5
904 | Carlota | 3.0
905 | Candelas | 3.0
906 | Reyna | 2.6
907 | Teo | 5.0
908 | Che | 7.6
909 | María Ángeles | 8.3
910 | Manola | 1.8
911 | Gloria | 9.6
912 | Sebastián | 2.0
913 | Amado | 7.4
914 | Bernardo | 8.9
915 | Filomena | 2.1
916 | Priscila | 1.0
917 | Rosaura | 5.5
918 | Edmundo | 2.7
919 | Octavia | 1.9
920 | Clementina | 5.4
921 | Asunción | 4.7
922 | Ceferino | 2.6
923 | Marisela | 4.2
924 | Angelita | 8.3
925 | Vicente | 9.0
926 | Leoncio | 9.2
927 | Graciana | 4.2
928 | Olalla | 1.7
929 | Merche | 9.4
930 | Lupita | 3.4
931 | Roldán | 6.3
932 | Ezequiel | 9.3
933 | Álvaro | 9.8
934 | Ángela | 1.3
935 | Ruy | 7.5
936 | Lupe | 5.8
937 | Encarna | 7.1
938 | Marisa | 5.8
939 | Estefanía | 2.4
940 | Coral | 6.4
941 | Rosario | 9.9
942 | Mariana | 4.8
943 | Vilma | 9.9
944 | Jaime | 1.0
945 | Francisca | 7.4
946 | Nicolasa | 3.3
947 | Pánfilo | 5.2
948 | Diana | 2.3
949 | Dominga | 6.2
950 | Catalina | 5.4
951 | Carlito | 7.4
952 | Geraldo | 1.6
953 | Beatriz | 9.2
954 | Maxi | 1.8
955 | Ciríaco | 9.0
956 | Luis Miguel | 4.0
957 | Débora | 8.1
958 | Baudelio | 9.8
959 | Sebastian | 7.2
960 | Amador | 5.4
961 | Lorenza | 2.3
962 | Cornelio | 3.9
963 | Obdulia | 5.5
964 | Chus | 5.5
965 | Nerea | 2.5
966 | Eutimio | 4.1
967 | Sigfrido | 5.9
968 | Rosario | 3.4
969 | Hilario | 4.3
970 | Ismael | 8.5
971 | Abigaíl | 3.4
972 | Rómulo | 3.1
973 | Abraham | 9.1
974 | Amaro | 8.7
975 | Jerónimo | 8.4
976 | Emiliano | 5.2
977 | Abigaíl | 3.6
978 | Nereida | 4.0
979 | Mar | 7.5
980 | Bienvenida | 2.8
981 | Juan Bautista | 7.0
982 | Micaela | 2.4
983 | Benita | 2.0
984 | Celestina | 8.2
985 | Raquel | 5.2
986 | Salud | 2.7
987 | Juan Manuel | 9.7
988 | Olivia | 7.1
989 | Andrés | 7.4
990 | Alma | 2.3
991 | Javier | 6.8
992 | Rosaura | 4.8
993 | Rosalía | 9.1
994 | Joaquín | 2.0
995 | Rocío | 5.5
996 | Manuel | 6.5
997 | Fabián | 4.0
998 | Basilio | 9.2
999 | Anselmo | 5.7
1000 | Arcelia | 2.9
1001 | Nerea | 4.1
1002 | Leonel | 5.0
1003 | Paola | 6.9
1004 | Martirio | 3.1
1005 | Octavia | 3.8
1006 | Florinda | 7.6
1007 | Alfredo | 5.0
1008 | Visitación | 7.8
1009 | Pepita | 4.5
1010 | Etelvina | 6.4
1011 | Nieves | 5.1
1012 | Goyo | 8.1
1013 | Alejandra | 1.6
1014 | Isaac | 5.9
1015 | Eliseo | 9.9
1016 | Jafet | 5.9
1017 | Cristina | 8.0
1018 | Sol | 6.2
1019 | Candela | 7.8
1020 | Lidia | 10.0
1021 | Rosario | 9.7
1022 | Tomás | 1.8
1023 | María Luisa | 4.4
1024 | Abril | 2.9
1025 | Alondra | 5.6
1026 | Moisés | 5.7
1027 | Ruben | 8.9
1028 | Filomena | 7.3
1029 | Juanita | 2.6
1030 | Tere | 7.7
1031 | Fortunato | 9.0
1032 | Arsenio | 9.5
1033 | Simón | 2.6
1034 | Juliana | 7.9
1035 | Gervasio | 6.2
1036 | Dora | 6.5
1037 | Pío | 1.2
1038 | Gabino | 5.2
1039 | José Luis | 3.5
1040 | María Del Carmen | 1.4
1041 | Adriana | 8.1
1042 | Ámbar | 5.5
1043 | Espiridión | 9.0
1044 | Calisto | 8.8
1045 | Rosalía | 1.5
1046 | Albano | 5.3
1047 | Gervasio | 4.9
1048 | Pili | 9.8
1049 | Nacho | 3.1
1050 | Miguel Ángel | 8.5
1051 | Bautista | 1.7
1052 | Flavio | 3.4
1053 | Gracia | 2.3
1054 | Anselmo | 5.6
1055 | Estela | 8.0
1056 | Joaquina | 2.2
